"review",label
"The quality of the plastic is good and the chopepr does its job well, providds very finely chopped veggies but the only drawback is that after few uses, the string loses its winding capability, also there is no replacement option, just return option is available",1
"Very useful product. Go for it",1
"I recently purchased the Nutri Pro Bullet Blender, and it has quickly become an essential part of my kitchen routine. The quality of this blender is top-notch. its made with durable materials that feel sturdy and well-constructed, ensuring it can handle daily use without any issues.Ease of use is another standout feature. The simple design makes it incredibly user-friendly, even for those who aren't very tech-savvy. Just twist, blend, and you're done! It’s also easy to clean, which is a big plus for anyone with a busy schedule.What really impressed me is how versatile this blender is. Whether I'm making smoothies, grinding nuts, or even preparing soups, the Nutri Pro handles it all with ease. The powerful motor ensures everything is blended to perfection, leaving no chunks behind.Overall, I highly recommend the Nutri Pro Bullet Blender to anyone looking for a reliable, high-quality blender that is easy to use and delivers great results every time",0
"The Nutri Pro Juicer, mixer blender is a very great product. It’s more than what I expected in the price range. It’s easy to put together, use, and clean. When there was issue that occurred, I raised a complaint, and the service team responded quickly. This appliance has become an integral part of our kitchen. I’ve been using this product from preparing morning juice to lunch and dinner purée preparations. It’s been 3 months since I’ve been using Nutri pro and I am very satisfied with the product",0
"I have ordered this product for my friend as a gift. She was happy with the product as it worked fine. Smoothies, chutneys, juices all can be made in it easily. However, the product stopped working within one and a half month. Thankfully, the customer service provided by them was quick and helpful. They immediately replaced the blender. It has been 15 days since replacement. Things are working fine now. Will update the status of this review again if it is not working. If I don't update it, just understand that I am happy with the product and it is working fine since then. However, the only thing I don't like about this product is the quality of small jar. I don't know why but the small jar has started becoming opaque instead of transparent, which it originally was. The quality of bigger jar and glass-like container is intact. And, it has been hardly 2 and half months since I brought the product",1
"Quality is amazing. Been using this mostly for fruit juices since about 2 months now and it works great. Initially I thought the 1 min continuous running time limit would be a limitation but I never really needed even more than 30secs continuous use.I bought the 3 jar model, thought I'd get 3 grinder sets but one of the jar only got a sipper.The dry grinder also worked well to make masala.Would have given 5 stars if there was a multi speed setting.Overall a good buy. Definitely worth it",1
"I've been using the ATOM Digital Kitchen Food Weighing Scale for a few weeks now, and its an absolute game-changer for my cooking and fitness routine. The scale is incredibly accurate, allowing me to measure ingredients to the gram, which is essential for both baking and maintaining a balanced diet. The sleek design fits perfectly in my kitchen, and its super easy to clean. The display is clear and easy to read, even when weighing in larger bowls or plates",0
"Poor quality…didn’t start up on pressing. The batteries provided were puffed up and not fitting in the slot. Even new batteries found it difficult and didn’t start with new set of batteries",1
"Given these features, I had high expectations for its performance. However, upon using the product, I encountered a major defect. The display often flickers and sometimes doesn't turn on at all, making it impossible to get any readings. When the display does work, the weight measurements are inconsistent and vary wildly even with the same object placed multiple times. I weighed the same item, only to receive different readings each time. This inconsistency renders the product useless for any serious measurement tasks.The plastic casing feels cheap and flimsy, and the buttons are not responsive. After only a few weeks of light use, the weighing platform has already started showing signs of wear and tear",1
"I ordered the set because I previously had a similar one from another firm, a very useful thing in the kitchen. The box was crumpled, but the product itself was intact, instructions on the box. It looks good, I hope it will last a long time",1
"The lights are quite good and bright. The quality of the string lights is commendable, perfect for both indoors and outdoors. The installation was pretty straightforward. The length is also quite generous allowing for flexible and creative decorating. The warm glow is perfect for creating a cozy ambience. Highly recommended",1
"So far I have placed order 🛒 for festive lights 🕯️ from 4 different brands/sellers. Destinct than the rest, the DesiDiya box is so beautiful 😍 that it is Gift Worthy. Instead of gifting a box full of sweets (Soanpapdi 😂) to health/diabetes 🍬 conscious recipient, do consider this product as an option as well",1
"Wast of money",0
"The product looks amazing and fits perfectly. You get a tool inside the box for adjusting the strap length according to your convenience. The battery backup is good (but not 7 days as advertised, its like 3 to 4 days max. on average use). I don't use it for fitness tracking, so I won't say much about that, but it has a lot of those features though. Bluetooth calling is great, very good sound and mic quality for a watch. Overall, a 4 out of 5 for the watch.Now when it comes to the app associated with it, which is the NoiseFit app, it sucks a bit. I had continuous connectivity issues from the beginning. The initial setup somehow works fine, but once you get disconnected from Bluetooth, it is impossible to reconnect again (at least on my phone). The only way to reconnect is to unpair from the app (which also doesn't work), unpair the watch from your device settings, reset the watch, uninstall the app, again reinstall the app and start over everything again. Yes, that's what you have to do. And the customer service also sucks, why the hell do you need 3 WORKING DAYS to just respond to the complaint ticket? Even after responding they couldn't solve my issue for another 4 days. Then I just decided to give up on them and tried resetting my entire smartphone, and IT STILL DOESN'T GET SOLVED. So, I start over again and decided to never turn off Bluetooth. its been fine until now at least. Overall app and customer service rating, 2 out of 5",1
"Very nice",0
"I have installed them behind the glass panes of our sit out in January 24. In just 8 months the wire is completely corroded and broke into pieces. The life of the string in open areas under the roof is very little. They may last longer inside home",1
"This blender changed my life! I used to struggle with making smoothies in the morning, but now I can blend anything in seconds. It even handles frozen fruits like a champ. Plus, the self-cleaning feature is a game changer!",0
"The QuantumFlex Blender 3000 is almost perfect. It blends everything smoothly, but the lid is a bit tricky to get on and off. Other than that, it’s a solid blender with lots of cool features.",1
"This blender isn’t worth the price. It struggles with anything tougher than a banana, and I’ve had to unclog it several times. It looks nice on the counter, but that’s about it. I wouldn’t recommend it",1
"The QuantumFlex Blender 3000 has revolutionized my mornings. I can make my green smoothies in less than a minute, and they turn out perfectly smooth every time. The auto-clean function is a lifesaver, and it’s surprisingly quiet!",0
"It is a good product. Very sturdy and strong tapes. Only problem is once you stick it you can’t remove it from that place and than that its a very good product.",1
"Good product",0
"The adhesive wont even hold 600 gms.. it will come off an fall. I used it for 30 days and it fell off. i cleaned the surface and there was n o moisture even then it was not sturdy enough. Money waste. I cannot even return it now.",1
"The product is good, worth for money and easy to use",0
"Good wire quality good lighting performance, easy to use, good length and nice colour but I bought 3 light and the plug was faulty it sometimes work and sometimes doesn't because of this I have to fit a new plug for light",1
"After installating it in room, and using it for only 3,4 hours daily, it stopoed working. its seems to be made of cheap material and even when I used it with care, did not strech or stress the wire, it still stopped working. Not a good experience.",1
"I liked it so much",0
"The fabric is waterproof and feels good",0
"The durability and its water resistance makes the product smoother and leakage proof. Really loving this product.",0
"This is not very much good product, blending is difficult and tedious process, the one who does not know make-up much or is least interested please donot buy, i thought this would be easily blendable but unfortunately its too much time consuming...I would not recommend this ..also color is cheap like 20 rupees local lipstick...I tried to wash from my hand you can see pinkness yet",1
"I've been through countless moisturizers, but Swiss Beauty Cream has finally become my go-to! its a game-changer for my dry skin.",0
"The packaging is sleek and attractive, making it a nice addition to my bathroom vanity.It feels luxurious to apply, like a spa treatment at home.Overall, I'm highly impressed with Swiss Beauty Cream. its effective, gentle, and affordable. Highly recommend it to anyone looking for a daily moisturizer that delivers lasting hydration and a healthy glow!",0
"This hair growth serum is a standout product for anyone struggling with thinning hair. Infused with biotin, rice water, and 3% Redensyl, it delivers powerful results. The biotin strengthens hair from the roots, while rice water nourishes and conditions, making hair softer and more manageable. Redensyl, known for its effectiveness in reducing hair loss, actively promotes new growth, making your hair look fuller and healthier over time. The serum is lightweight and absorbs quickly, making it easy to incorporate into your daily routine. Consistent use can noticeably reduce hair fall and boost growth, giving you thicker, stronger hair.",0
"This product is a total waste it claims to stop hairfall and promote hair growth but its of no use...I have consistently used it and infact it gave me severe hairfall don't know why its still in market",1
"The product is working its just for hair growth not to prevent hair fall as I still have hairfall as usual but it make my few hair grey so that's the side effect of using it and it also make my hair rough so not recommended using this product",1
"I love this product, it makes my hair shiny and strong... I have suffered severe hairloss due to pcod, and this product is one of the many products that I use, I must tell you that its worth it, it made my baby hairs grow really fast and is very easy to use. I will update after a few months",1
"Fake and duplicate product. No refund option as well.",0
"I hooked this up to my wife's computer yesterday and almost sent it back DOA. I hit the power button on the back several times and it wouldn't turn on. I even checked to make sure there was power in the end of the plug that goes into the monitor. As I was fussing with it, my wife came over and hit some of the other buttons on the back such as brightness, contrast, etc. and it came to life! I find that strange & pretty much unacceptable. After it started showing the home screen and browsing a bit we didn't think the color was all that great. It had a too bright look to it. After messing with the brightness and contrast we have it looking better (let's say acceptable), but certainly not great or even very good. For a better inexpensive monitor I'd recommend checking out a comparable Spectre monitor. Not recommended for a number of reasons.",1
"Using it for the past 2 months, good for skin, not harsh, not bad as it doesn't put any negative effect on your natural skin, but it doesn't improve my oily skin yet. My skin is not very oily but it is the same as with my previous product and it doesn't help to fade any acne scars till now.",1
"I've been using Dettol Original Germ Protection Bathing Soap Bar for years, and it never disappoints! This soap is a staple in our household, and for good reason. its incredibly effective at killing 99.99% of germs, which gives me peace of mind, especially during cold and flu season",0
"The highlighter came all broken and all the 4 different shades of highlighter were broken into pieces and mixed together. It is a huge mess even the mars box is covered in highlighter. Need a refund asap…!!",1
"Such gorgeous shades it has I've been using it in multiple ways just amazing I would love to use only highlighter of Mars not any other brand.",0
"I got this palette for my sister. And she loved it. Even I'm using it too and its actually good at this rate.",1
"Here is a 30-word review of Park Avenue Cool Blue:Refreshing, calming fragrance for everyday wear. Light, cool scent perfect for summer. Decent longevity, affordable price. Great for casual use, a nice addition to your fragrance collection",0
"I have been using this product for almost a month. It has good aroma and it smells for ling hours like more than 15 hours if you don’t sweat more.one important thing for me I would like to bring here is that it didn’t help me to reduce darkness of my underarms. From the smelling point of view, I would say it’s a best. But it lacks in getting rid of pigmentation.",1
"This book is fantastic. I gained a lot of knowledge from it. This book has a positive impact on life's thinking patterns. It also aided me in facing and conquering my fears.",1
"its perfect read for children as well as for adults. the book got delivered in perfect condition. coming to the book its the first book of harry potter series and whoever likes harry potter movie will love reading it and wont want to put the book away...the best part is you will fall more with harry potter...happy reading potter heads",1
"Just finished reading this book, and to be honest did't found it that much helpful.I mean few chapters are really interesting and good but few are literally boring, feels like the authors was going into too much detail.",1
"This Cooling soap provides a refreshing cleanse with its minty-cool sensation. Its unique formula leaves skin feeling revitalized and thoroughly clean, perfect for hot summer days or after a workout. The antibacterial properties of Dettol ensure thorough germ protection, making it a reliable choice for daily hygiene. Overall, a refreshing and effective soap option for staying cool and clean.",0
"I enjoyed reading the book. I like authors thoughts and her writing process. Every story has a hidden moral that you realize n get a connected. But I was a little disappointed as the name of the book n story of devadasi was opener to the book. I was expecting that stories are all based on different devadasi’s there personal life and how they felt etc but what I was expected wasn’t there the subject jumped from place to place. Though I jumped but I did enjoyed the read",1
"Excellent product with great quality and perfect for daily use it glows the skin and protect from taking good product value for money",0
"Excellent product. Highly recommended for men who like to enhance their facial tone.",0
"The collection has variety of nice smelling fragrances. its good and budget friendly",0
"I had bought the luxury set for Women. All the four perfumes smell awesome and unique. They are long lasting",0
"I loved the product because of the lasting fragrance. But the issue is out of 4 bottes one fragrance is always half empty its mostly with rose fragrance or glam fragrance. This time is Glam fragrance. Then why are we paying for the full amount if we are always receiving half empty bottles.",1
"Perfect. Very comfortable sole. Easy to wear. Long lasting",0
"The product quality is good but heels are narrow and really difficult to walk. mostly your feet gets twisted.",1
"I am extremely happy to use this slipper. Good fit. Extra soft. A good companion!",0
"Comfortable but too soft. Slippery when wet.",1
"Worth the price. Is stylish and quality of the shoes is top notch. Fit is perfect as shown. Thickness of the sole is high. Shoes seems to durable. The color of the shoes are eye catching.",0
"This pair of slippers are nothin great. The pressure points hardly give any pressure. Though it isnt expensive but I guess it still should have been 100₹ cheaper. However, they are ok to wear, comfortable and feels good but a big zero for the pressure points marketing gimmick, though I fell for it",1
"Truthfully I ordered this to serve as an emergancy kit fot the car. After receiving it, I naturally poked around inside and I must say I was please. It was exactly as described, well stocked and ready to roll. After adding a couple minor things like a good knife. It is sett and ready to go for just about any reason. I'm looking to get a second kit when they've restocked",1
"these blades are sharp,sharp. don't have no problem with these blades and just think 2 sets for the price of one set that come in a yellow package. will purchase more when needed. quickshipping",1
"Sweetener in diet sodas. Not good or healthy for you at all.",1
"Had been looking for grapefruit flavored soda for a while and came across Ice. Tasted great, so I started purchasing different flavors. Some are great, some are ok, and some I don’t care for. My go-to flavors are black cherry, black raspberry, grapefruit, and any of the lemonades/limeades. The new grape raspberry is on order and guessing I’ll like it too. But why is ICE bottled in 17 oz containers when the rest of the beverage world uses 16 oz?",1
"My husband loves these ice drinks. Doesn’t drink much diet soda but is diabetic, so he finds this a nice alternative to water or soda for a treat. His favorite flavors are cherry, black raspberry, kiwi strawberry, and cherry limeade. We buy about 3 cases a month from this seller. Cheaper here compared to the big box store. At the store, they’re at least $1 each, but normally $1.25, so this is a better buy. Plus, I get to skip a trip to the store and carrying heavy bags. But overall, much cheaper and convenient to buy the case.",1
"Ordered the same Sparkling Ice, which used to be green and had a less tart flavor. But did the company change both the color and flavor?",1
"Liked this variety pack better than the last one. All flavors were acceptable, with Peach Nectarine and Pink Grapefruit being the best. Black Cherry and Coconut Pineapple were not as good as they sounded. Still waiting for the perfect combo.",1
"This variety pack has some tastier flavors of Sparkling Ice. My husband thinks anything with lemon tastes like janitor in a drum -> but the limeade is okay. My family likes it, and I’m fine with them drinking it in moderation. It has artificial colors, flavors, and sucralose. Also has vitamins and green tea extract, and the bottles are BPA-free. A bit of a mixed bag, but good in a household where we’re eliminating aspartame and trying to cut down on caffeine.",1
"This is their newest flavor and it’s fabulous. Not as sweet as ginger ale, but sweet enough with a delicate touch of lime. Perfect!",1
"First adventure in taste titillation with this gift of a thirst-quenching, body-nourishing, energy-giving, refreshing, tasty, effervescent elixir. The formula was likely given to the company by space aliens who didn’t want Americans to suffer with overly sugary, caloric empty-calorie brown bubbly water. Sparkling Ice refreshments have 0 calories. The black cherry taste was tart and sweet but not overly sweet. Your taste buds adapt readily to the sucralose, and it becomes craveable! No caffeine, instead 50 mg of Green Tea, so your metabolism is humming away. More? B vitamins and D vitamins. Carbonation is just right!!! Though I love plain cold water, this is now one of my daily go-to liquid libations from top-secret aliens... :') Don’t let your lack of belief in aliens stop you from trying this fine product. I’m a Diet Coke nut, and this comes close to my love for Diet Coke while helping me stay hydrated and rev up my metabolism.",0
"Tried several flavors and like the Black Raspberry one best. Some are just OK, and some leave a bad carbon aftertaste. Everybody likes different flavors, so I won’t assume you’d like the same ones I do. The flavor is stronger than most flavored waters I’ve tried, which I like because with most, you can barely taste any flavor. I’d prefer the berry tastes without the CO2, though. CO2 levels make me belch during and after finishing a bottle. There’s more CO2 than in sodas I drank. Good quantity of liquid in each bottle, so one bottle goes farther than a soda can but a bit less than a Gatorade bottle. Bottles are slim and tall with non-flat bases, so they easily tip over and spill. Needs a flatter bottom and should be shorter to hold the fluid without tipping over. More like a Gatorade 20 oz bottle. Several flavors have a strong aftertaste of carbon, probably from the CO2. Some flavors' carbon taste is more noticeable than others. Slight recommendation for taste and strong recommendation for healthiness as opposed to sodas. Advise new purchasers to buy a variety pack first, as judging by one flavor isn’t fair. Bought different flavors of these several times from Amazon and locally when stocked.",1
"Absolutely LOVE Sparkling ICE!!! Helps boost H2O consumption, gives me a little flavor, and, because I get several 'flavors,' adds variety to my day! I have to choose my flavors for my own 'variety' packs because everyone always puts strawberry something in there. While strawberries won’t kill me, they make my GI system extremely uncomfortable. ICE uses natural flavors, so I choose the ones without strawberry - Black Cherry, Cherry Limeade, Blueberry Pomegranate, Lemonade, Mango Orange, etc. All are delicious!!! My grandson even thinks they’re wonderful - he didn’t realize they were water until someone told him! This is the way to do it!",1
"Sparkling Ice, Ginger Lime Sparkling Water, with antioxidants and vitamins, Zero Sugar, is a new flavor that’s both delicious and refreshing. Ginger and lime are among my favorite flavors, and it’s the perfect drink during hot summer months. Ginger is the predominant flavor with a good boost of lime, and it really hits the spot. The sparkling water is fortified with vitamins and antioxidants and has zero calories, so no guilt. Comes in a pack of 12 - 17 FL OZ Bottles and is easy to store. Each bottle contains two servings, but I must confess, I can polish off a whole bottle when really thirsty in this heat. Very pleased to have found this beverage and recommend it when you want something cold and tasty to drink. Give it a try.",1
"Absolutely love Ice water. Always been an avid Dr. Pepper drinker (as are many from the mid-South). its an Oklahoma/Texas thing to do and so unhealthy. Endocrinologist said I absolutely shouldn’t drink soda any longer due to the carbs. Told to try Perrier for carbonation, but that didn’t do it for me, so I just cheated, telling myself there are worse habits. A friend turned me on to Ice water but warned that she bought it by the crate at Sam’s and felt it was probably costly. She was right. Found it at Big Lots for $.75 each, but it was burdensome to buy that way, and you could never be sure what was in stock. Then came the Pandemic. Dr. ordered me to stay home and have groceries delivered. Personally, I like the original flavors delivered here. Best price I’ve found. I can count on them being delivered to my door, packaged neatly in a tight plastic wrap that fits perfectly in a box. Sometimes, due to carbonation, I worry about them spewing out like sodas often do. It starts to fizz up when I turn the top, but always goes back down. Amazing in this 100+° heat. Imagine the temps it reaches in those trucks. Grateful for this water, delivered safely to my door at a very reasonable price. Thank you.",1
"This stuff is crack. My boyfriend and I have tried every flavor of Sparkling Ice, and this Strawberry Watermelon flavor stands out. Been ordering three 12-packs a month for at least the past two and a half years and still not sick of it. It’s the only soda or sparkling drink we have. Balances both flavors well and is guilt-free. Relatively inexpensive, especially if you do Subscribe & Save as we do. Easily stack the 12-packs in a closet for a small footprint. Unrelated to the product, appreciate that all three arrive in one box that my poor postman lugs up a flight of stairs (don’t worry, I tip him each year).",1
"These were exactly what I was looking for! I was using disposable and they were twice as hot. They are super comfortable and soft and dip at the cheekbones like I wanted.",1
"These are the best masks I’ve found! I ordered the XL size to fit my ample dome. I have a HUGE face and my beard only exacerbates things. Hat size 7 5/8”, beard is usually 5-6” off my chin. How HUGE is your face if these masks are too small? You must be a cartoon or some sort of animated caricature. These masks would fit Jay Leno’s chin! These masks would cover Adrian Brody’s big ol’ honker! These masks would even fit OJ Simpson’s gargantuan noggin! Great buy, and I would buy again!",0
"I’ve been through about 6 masks now and I’ve FINALLY found comfort and breathability. If I have to wear a mask, it’s got to be comfortable! I’m an essential worker in a warehouse but also am out and about quite a bit and I needed a reusable and washable safety mask. First of all, this mask is so soft, and secondly, it is 3 PLY which gives great protection as well...BUT the real value prop with this mask is the ear loops. The loops that come off this mask are circular and elastic and very comfortable. The previous masks I used had square-shaped elastic bands that went behind my ears which were incredibly uncomfortable and gave me Dumbo ears (not a good look). I also like that it’s a three-pack. I did purchase an XL because I have a beard and a larger face, it’s nice they have a size chart in their images and a few different sizes, this one is good you won’t be disappointed!",1
"I like that these masks fit really comfortably on my face. I don’t feel like its squishing my nose, but it also has a decently tight fit. It also doesn’t pull on my ears like a previous one that I had. I know it isn’t the time to care about these things...but I looked seriously ridiculous with my ears poking out! They are made of really nice 3 PLY fabric, very happy with this.",1
"I have a pretty fat face, so I have trouble buying one-size-fits-all masks, but these fit very well. I can talk or open my mouth normally without it sliding off my nose or chin. The tapered nose fits well and doesn't leave a huge gap (I also have a honker of a nose). The fabric is soft and comfortable, doesn't feel suffocating. I washed in a lingerie bag on warm, and then tumble-dried on medium, and there was no shrinkage or damage. No unpleasant smell or feel. Would buy again.",1
"I have a big head and usually need an XL hat. These masks fit perfectly and feel very nice. Even if your head is a little smaller, these will fit fine and not kill your ears. Very recommended.",1
"These are the pictures of the extra large size. I hope this helps determine the correct size to order. The mask covers my nose and mouth perfectly. The elastic loops keep it snugly in place. The loops are not adjustable. The inside and outside fabrics are soft and lint-free.",1
"Bought these for my husband (pictured). We have been looking for something to fit his face. He said they have minimal fogging effect on his glasses. He’s happy with the product.",1
"Very flexible. The material is breathable enough that I don't feel like I am suffocating. The shape is also really good and it fits over my face very well. I definitely recommend washing them first thing, it helps them fit better and I found they can shrink a bit for a tighter fit on the face. They also are easy to pack up and take on the go, and I like the color. its very simple and sleek and is super useful.",1
"These masks are awesome and they are made really well... these will be great for when I go back to work or need to go to the grocery store.",1
"I just got the XL face masks in. They could still use to be a bit bigger. The nose section will come off when talking/yawning and the elastic is a bit of a stretch to get around your ears and feels quite thin. These are still going to hurt to wear for long stretches, but better than any other option that I've tried. If you have a big head/face, this is probably your best bet.",1
"Wow, the fit and quality of these masks are incredible. They are sturdy yet breathable and the fit is awesome... no more weird issues with masks falling down my nose when I talk. I love that they have anti-microbial properties too. Finally, someone got it right with this mask.",1
"I like that they have 3 different sizes. I ordered the large and it fits very comfortably without wanting to slide up or down my face while talking. They are made from a very soft material, and you can feel the 3 layers of fabric in it. The elastic loops for the ears are very stretchy and long enough that you don't get any pull on your ears.",1
"The masks are SO comfortable and breathable. They’re obviously not the same kind of protection as a surgical mask, but if you need one to run errands, it’s so perfect!",1
"Great Product... Stretchy mask and thick protective mask...I will buy again.",1
"NOT Covid-19 Mask... These masks 'might' help with mowing or painting.. 'might'!! However, these are NOT for covid-19.. I should have read MORE!! The weave is too large in these, to be small enough for CV-19.. they have to be 0.3... These are just a 'for looks' mask! They are soft, comfortable, and breathable.. BUT the entire reason for purchase was CV-19... We will keep them; hubby will paint or mow with them!",0
"EnerPlex Premium Extra-Large Reusable Face Masks (set of 3) are considerately manufactured, consisting of fine quality material, durable stitching, inclusive of well-fitting ear bands. Said face masks offer properly proportioned dimensional contouring for larger men's facial structure coverage, exceptional, overall, comfort and breathability. Indeed, the masks fit my face as if custom-made, and they are sufficiently compatible with eyeglass wearers even in quite warm settings. Of course, its certainly nice that I do, frequently, receive positive comments on EnerPlex Premium XL Face Masks possessing a professional aesthetic design. Moreover, both, the prompt shipping process and, undoubtedly, reasonable pricing are appreciated factors, as well. Yes, I am very satisfied with EnerPlex Premium XL Face Masks, and will soon place additional orders. Highly recommended purchase, from a proven truly honorable marketplace seller, to assist in essential health maintenance during the Coronavirus (COVID-19) disease pandemic. Let's all join in staying, and keeping one another, protected, safe, healthy, and happy. Hope my product review serves as helpful in my fellow customers' buying decision.",0
"I have looked at, purchased, and returned several masks (or given them away) because NOTHING ever fits right... These do, and they are pretty comfortable as well. The elastic is a little less stretchy, but I can put these on and talk without having to pull them up every 2 words. Covers everything that needs to be covered and stays put, thank you!",1
"These masks are great. Excellent quality, leave you room to breathe and yet they are thick enough to protect you. I believe it could be a little thicker, actually, but it should do the trick. I am a 5.1 female and I got medium after reading a few reviews. I believe I could have gotten the small ones, as it feels a bit loose on my face. For reference, I have a thin, oval face and weigh 103 pounds.",1
"I purchased the small size for my 11-year-old and it fits perfectly. Not too tight that it’s pulling at the ears but definitely not leaving gaps. Material is thick but stretchy. For reference, she’s definitely on the small side, but overall, I think this could comfortably fit kids that are a little older.",1
"Alright, adult here with a teeny tiny head! Don’t laugh, but my favorite baseball hat is a 5T, so my head is NOT adult-sized. I ordered the small and it fits perfectly! I was desperately in need of a mask that I could wear during my CrossFit workouts and this wins! I don’t suck in cloth when working out and it stays put on my face without falling down or creeping up into my eye sockets. I ordered three more since I absolutely must wash them after each use. As soon as the white ones are back in stock I’ll order 6 more for work!",1
"It’s hard to believe that these are three-ply masks — they’re very thin. Consequently, it’s hard to imagine that they offer much protection, particularly after they’ve been washed a couple of times. I strongly discourage purchasing these.",0
